tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt0067992	movie	Willy Wonka & the Chocolate Factory	Willy Wonka & the Chocolate Factory	0	1971	\N	100	['Family', 'Fantasy', 'Musical']
tt0068069	tvSeries	Emmerdale Farm	Emmerdale Farm	0	1972	\N	30	['Drama', 'Romance']
tt0068089	tvSeries	The Julie Andrews Hour	The Julie Andrews Hour	0	1972	1973	60	['Music']
tt0068126	tvSeries	The Rookies	The Rookies	0	1972	1976	60	['Crime', 'Drama']
tt0068135	tvSeries	The Streets of San Francisco	The Streets of San Francisco	0	1972	1977	60	['Action', 'Crime', 'Drama']
tt0068683	movie	Main Thing Holidays	Hauptsache Ferien	0	1972	\N	103	['Comedy']
tt0069504	movie	Willi Manages the Whole Thing	Willi wird das Kind schon schaukeln	0	1972	\N	84	['Comedy']
tt0069582	tvSeries	Father Brown	Father Brown	0	1974	1974	50	['Crime', 'Drama', 'Mystery']
tt0069608	tvSeries	Match Game	Match Game 73	0	1973	1990	30	['Comedy', 'Game-Show']
tt0070907	movie	Wenn jeder Tag ein Sonntag wär'...	Wenn jeder Tag ein Sonntag wär'...	0	1973	\N	89	['Comedy']
tt0071054	tvSeries	The Six Million Dollar Man	The Six Million Dollar Man	0	1974	1978	60	['Action', 'Crime', 'Drama']
tt0071059	tvSeries	The Sweeney	The Sweeney	0	1974	1978	60	['Action', 'Comedy', 'Crime']
tt0071063	tvSeries	Tattletales	Tattletales	0	1974	1977	30	['Comedy']
tt0071711	movie	Captain Mikula, the Kid	Kapetan Mikula Mali	0	1974	\N	95	['Drama', 'War']
tt0072471	tvSeries	Baretta	Baretta	0	1975	1978	60	['Crime', 'Drama', 'Mystery']
tt0072481	tvSeries	Bronk	Bronk	0	1975	1976	60	['Crime', 'Drama']
tt0072506	tvSeries	Good Morning America	Good Morning America	0	1975	\N	120	['News', 'Talk-Show']
tt0072562	tvSeries	Saturday Night Live	Saturday Night Live	0	1975	\N	90	['Comedy', 'Music']
tt0072574	tvSeries	Switch	Switch	0	1975	1978	90	['Action', 'Crime', 'Drama']
tt0072890	movie	Dog Day Afternoon	Dog Day Afternoon	0	1975	\N	125	['Biography', 'Crime', 'Drama']
tt0072891	movie	Dogpound Shuffle	Dogpound Shuffle	0	1979	\N	90	['Comedy', 'Drama']
tt0072901	movie	The Twelve Tasks of Asterix	Les 12 travaux d'Astérix	0	1976	\N	82	['Adventure', 'Animation', 'Comedy']
tt0073671	tvMovie	Ein schönes Paar	Ein schönes Paar	0	1975	\N	\N	['\\N']
tt0073952	tvMiniSeries	The Adams Chronicles	The Adams Chronicles	0	1976	1976	50	['Drama', 'History']
tt0073965	tvSeries	The Bionic Woman	The Bionic Woman	0	1976	1978	60	['Action', 'Adventure', 'Drama']
tt0073988	tvSeries	Executive Suite	Executive Suite	0	1976	1977	60	['Drama']
tt0074016	tvSeries	Laverne & Shirley	Laverne & Shirley	0	1976	1983	30	['Comedy', 'Family']
tt0074035	tvSeries	The Onedin Line	The Onedin Line	0	1971	1980	50	['Adventure', 'Drama', 'Romance']
tt0074058	tvSeries	The Sonny and Cher Show	The Sonny and Cher Show	0	1976	1977	60	['Comedy', 'Music']
